䷀,乾,qián,111,111,THE CREATIVE HEAVEN
䷁,坤,kūn,000,000,THE RECEPTIVE EARTH
䷂,屯,chún,100,010,DIFFICULTY AT THE BEGINNING
䷃,蒙,méng,010,001,YOUTHFUL FOLLY
䷄,需,xū,111,010,WAITING
䷅,訟,sòng,010,111,CONFLICT
䷆,師,shī,010,000,THE ARMY
䷇,比,bǐ,000,010,HOLDING TOGETHER
䷈,小畜,xiǎo chù,111,011,SMALL TAMING
䷉,履,lǚ,110,111,TREADING
䷊,泰,tài,111,000,PEACE
䷋,否,pǐ,000,111,STANDSTILL
䷌,同人,tóng rén,101,111,FELLOWSHIP
䷍,大有,dà yǒu,111,101,GREAT POSSESSION
䷎,謙,qiān,001,000,MODESTY
䷏,豫,yù,000,100,ENTHUSIASM
䷐,隨,suí,100,110,FOLLOWING
䷑,蠱,gŭ,011,001,WORK ON THE DECAYED
䷒,臨,lín,110,000,APPROACH
䷓,觀,guān,000,011,CONTEMPLATION
䷔,噬嗑,shì kè,100,101,BITING THROUGH
䷕,賁,bì,101,001,GRACE
䷖,剝,bō,000,001,SPLITTING APART
䷗,復,fù,100,000,RETURN
䷘,無妄,wú wàng,100,111,INNOCENCE
䷙,大畜,dà chù,111,001,GREAT TAMING
䷚,頤,yí,100,001,MOUTH CORNERS
䷛,大過,dà guò,011,110,GREAT PREPONDERANCE
䷜,坎,kǎn,010,010,THE ABYSMAL WATER
䷝,離,lí,101,101,THE CLINGING FIRE
䷞,咸,xián,001,110,INFLUENCE
䷟,恆,héng,011,100,DURATION
䷠,遯,dùn,001,111,RETREAT
䷡,大壯,dà zhuàng,111,100,GREAT POWER
䷢,晉,jìn,000,101,PROGRESS
䷣,明夷,míng yí,101,000,DARKENING OF THE LIGHT
䷤,家人,jiā rén,101,011,THE FAMILY
䷥,睽,kuí,110,101,OPPOSITION
䷦,蹇,jiǎn,001,010,OBSTRUCTION
䷧,解,xiè,010,100,DELIVERANCE
䷨,損,sǔn,110,001,DECREASE
䷩,益,yì,100,011,INCREASE
䷪,夬,guài,111,110,BREAKTHROUGH
䷫,姤,gòu,011,111,COMING TO MEET
䷬,萃,cuì,000,110,GATHERING TOGETHER
䷭,升,shēng,011,000,PUSHING UPWARD
䷮,困,kùn,010,110,OPPRESSION
䷯,井,jǐng,011,010,THE WELL
䷰,革,gé,101,110,REVOLUTION
䷱,鼎,dǐng,011,101,THE CAULDRON
䷲,震,zhèn,100,100,THE AROUSING THUNDER
䷳,艮,gèn,001,001,THE KEEPING STILL MOUNTAIN
䷴,漸,jiàn,001,011,DEVELOPMENT
䷵,歸妹,guī mèi,110,100,THE MARRYING MAIDEN
䷶,豐,fēng,101,100,ABUNDANCE
䷷,旅,lǚ,001,101,THE WANDERER
䷸,巽,xùn,011,011,THE GENTLE WIND
䷹,兌,duì,110,110,THE JOYOUS LAKE
䷺,渙,huàn,010,011,DISPERSION
䷻,節,jié,110,010,LIMITATION
䷼,中孚,zhōng fú,110,011,INNER TRUTH
䷽,小過,xiǎo guò,001,100,SMALL PREPONDERANCE
䷾,既濟,jì jì,101,010,AFTER COMPLETION
䷿,未濟,wèi jì,010,101,BEFORE COMPLETION
